%Channels,1,
%Samples,6163,
%Date,3/6/2015,
%Time,11:55:06,
%Y_Unit_Label,Angle (deg),
%X_Dimension,Time (s),
%X0,55:06.4,
%Delta_X,0.02,
%***End_of_Header***,,
%X_Value,03/06/2015 11:55:02 AM - Angular - Dev1_ctr0,Comment
6.8,-51.696,
6.82,-51.804,
6.84,-51.948,
6.86,-52.056,
6.88,-52.2,
6.9,-52.308,
6.92,-52.416,
6.94,-52.524,
6.96,-52.632,
6.98,-52.704,
7,-52.776,
7.02,-52.812,
7.04,-52.884,
7.06,-52.92,
7.08,-52.956,
7.1,-52.992,
7.12,-52.992,
7.14,-53.028,
7.16,-53.028,
7.18,-53.064,
7.2,-53.064,
7.22,-53.064,
7.24,-53.064,
7.26,-53.064,
7.28,-53.028,
7.3,-52.992,
7.32,-52.956,
7.34,-52.884,
7.36,-52.848,
7.38,-52.74,
7.4,-52.632,
7.42,-52.56,
7.44,-52.416,
7.46,-52.308,
7.48,-52.164,
7.5,-51.984,
7.52,-51.84,
7.54,-51.66,
7.56,-51.48,
7.58,-51.264,
7.6,-51.084,
7.62,-50.832,
7.64,-50.616,
7.66,-50.364,
7.68,-50.112,
7.7,-49.824,
7.72,-49.536,
7.74,-49.212,
7.76,-48.888,
7.78,-48.564,
7.8,-48.24,
7.82,-47.952,
7.84,-47.664,
7.86,-47.412,
7.88,-47.196,
7.9,-47.016,
7.92,-46.836,
7.94,-46.692,
7.96,-46.584,
7.98,-46.476,
8,-46.404,
8.02,-46.332,
8.04,-46.296,
8.06,-46.224,
8.08,-46.188,
8.1,-46.152,
8.12,-46.116,
8.14,-46.08,
8.16,-46.08,
8.18,-46.08,
8.2,-46.08,
8.22,-46.08,
8.24,-46.08,
8.26,-46.116,
8.28,-46.116,
8.3,-46.152,
8.32,-46.224,
8.34,-46.26,
8.36,-46.296,
8.38,-46.368,
8.4,-46.404,
8.42,-46.476,
8.44,-46.512,
8.46,-46.512,
8.48,-46.548,
8.5,-46.548,
8.52,-46.548,
8.54,-46.548,
8.56,-46.548,
8.58,-46.548,
8.6,-46.512,
8.62,-46.476,
8.64,-46.44,
8.66,-46.404,
8.68,-46.368,
8.7,-46.296,
8.72,-46.26,
8.74,-46.224,
8.76,-46.188,
8.78,-46.152,
8.8,-46.152,
8.82,-46.116,
8.84,-46.08,
8.86,-46.08,
8.88,-46.044,
8.9,-46.044,
8.92,-46.008,
8.94,-45.972,
8.96,-45.936,
8.98,-45.936,
9,-45.9,
9.02,-45.864,
9.04,-45.864,
9.06,-45.828,
9.08,-45.792,
9.1,-45.792,
9.12,-45.756,
9.14,-45.72,
9.16,-45.684,
9.18,-45.648,
9.2,-45.576,
9.22,-45.504,
9.24,-45.468,
9.26,-45.36,
9.28,-45.288,
9.3,-45.18,
9.32,-45.072,
9.34,-45,
9.36,-44.892,
9.38,-44.82,
9.4,-44.748,
9.42,-44.676,
9.44,-44.604,
9.46,-44.532,
9.48,-44.496,
9.5,-44.424,
9.52,-44.424,
9.54,-44.388,
9.56,-44.352,
9.58,-44.352,
9.6,-44.352,
9.62,-44.352,
9.64,-44.352,
9.66,-44.352,
9.68,-44.352,
9.7,-44.352,
9.72,-44.388,
9.74,-44.388,
9.76,-44.388,
9.78,-44.388,
9.8,-44.388,
9.82,-44.388,
9.84,-44.388,
9.86,-44.388,
9.88,-44.388,
9.9,-44.388,
9.92,-44.388,
9.94,-44.424,
9.96,-44.424,
9.98,-44.424,
10,-44.46,
10.02,-44.496,
10.04,-44.532,
10.06,-44.604,
10.08,-44.64,
10.1,-44.712,
10.12,-44.784,
10.14,-44.856,
10.16,-44.892,
10.18,-44.928,
10.2,-44.964,
10.22,-44.964,
10.24,-44.964,
10.26,-44.964,
10.28,-44.928,
10.3,-44.892,
10.32,-44.892,
10.34,-44.892,
10.36,-44.856,
10.38,-44.856,
10.4,-44.892,
10.42,-44.892,
10.44,-44.928,
10.46,-44.964,
10.48,-45.036,
10.5,-45.072,
10.52,-45.108,
10.54,-45.18,
10.56,-45.216,
10.58,-45.252,
10.6,-45.288,
10.62,-45.288,
10.64,-45.288,
10.66,-45.324,
10.68,-45.324,
10.7,-45.324,
